Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type
OUT010,1998,Medium,Tier 3,Grocery Store
OUT013,1987,High,Tier 3,Supermarket Type1
OUT017,2007,Small,Tier 2,Supermarket Type1
OUT018,2009,Medium,Tier 3,Supermarket Type2
OUT019,1985,Small,Tier 1,Grocery Store
OUT027,1985,Medium,Tier 3,Supermarket Type3
OUT035,2004,Small,Tier 2,Supermarket Type1
OUT045,2002,Small,Tier 2,Supermarket Type1
OUT046,1997,Small,Tier 1,Supermarket Type1
OUT049,1999,Medium,Tier 1,Supermarket Type1
