Item_Identifier,Outlet_Identifier,Item_Visibility,Item_MRP,Item_Outlet_Sales
FDA15,OUT049,0.016047301,249.8092,3735.14
DRC01,OUT018,0.019278216,48.2692,443.42
FDN15,OUT049,0.016760075,141.618,2097.27
FDX07,OUT010,0.015273673333333335,182.095,732.38
NCD19,OUT013,0.008082153,53.8614,994.71
FDP36,OUT018,0.060928214,51.4008,556.61
FDO10,OUT013,0.012741088999999999,57.6588,343.55
FDP10,OUT027,0.127469857,107.7622,4022.76
FDH17,OUT045,0.016687114,96.9726,1076.6
FDU28,OUT017,0.09444959,187.8214,4710.54
FDY07,OUT049,0.052234102857142854,45.5402,1516.03
FDA03,OUT046,0.045463773,144.1102,2187.15
FDX32,OUT049,0.1000135,145.4786,1589.26
FDS46,OUT046,0.047257328,119.6782,2145.21
FDF32,OUT013,0.06802430000000001,196.4426,1977.43
FDP49,OUT046,0.06908896099999999,56.3614,1547.32
NCB42,OUT018,0.008596051,115.3492,1621.89
FDP49,OUT049,0.06919637599999999,54.3614,718.4
DRI11,OUT027,0.034237682,113.2834,2303.67
FDU02,OUT035,0.10249212,230.5352,2748.42
FDN22,OUT013,0.138190277,250.8724,3775.09
FDW12,OUT027,0.035399923,144.5444,4064.04
NCB30,OUT035,0.025698133999999997,196.5084,1587.27
FDC37,OUT019,0.057556998,107.6938,214.39
FDR28,OUT046,0.025896485,165.021,4078.02
NCD06,OUT017,0.099887103,45.906000000000006,838.91
FDV10,OUT035,0.06669343700000001,42.3112,1065.28
DRJ59,OUT013,0.019356131999999998,39.1164,308.93
FDE51,OUT010,0.161466534,45.5086,178.43
FDC14,OUT019,0.072221801,43.6454,125.84
FDV38,OUT010,0.17034855100000001,55.7956,163.79
NCS17,OUT018,0.080829372,96.4436,2741.76
FDP33,OUT018,0.08556526183333334,256.6672,3068.01
FDO23,OUT045,0.14129689414285715,93.1436,2174.5
DRH01,OUT046,0.097904029,174.8738,2085.29
NCX29,OUT049,0.08929113699999999,146.7102,3791.07
FDV20,OUT027,0.059511812000000004,128.0678,2797.69
DRZ11,OUT018,0.113123893,122.5388,1609.9
FDX10,OUT027,0.12311145300000001,36.9874,388.16
FDB34,OUT027,0.026480953999999998,87.6198,2180.5
FDU02,OUT046,0.102511504,230.6352,3435.53
FDK43,OUT013,0.02681843,126.00200000000001,2150.53
FDA46,OUT049,0.117818348,192.9136,2527.38
FDC02,OUT018,0.06910283099999999,259.9278,6768.52
FDL50,OUT013,0.042277867000000004,126.5046,373.51
FDM39,OUT010,0.08949892599999999,178.1002,358.2
NCP05,OUT045,0.021101573,153.3024,2428.84
FDV49,OUT045,0.025879577,265.2226,5815.1
FDL12,OUT046,0.121632721,60.622,2576.65
FDS02,OUT019,0.25539489600000004,196.8794,780.32
NCL17,OUT046,0.067779712,143.8812,3134.59
FDM40,OUT013,0.159803853,141.5154,850.89
FDR13,OUT013,0.028696932,117.0492,810.94
FDA43,OUT017,0.065041581,196.3794,3121.27
NCP18,OUT017,0.028760012999999997,151.4708,4815.07
FDK21,OUT018,0.010053105,249.0408,6258.52
NCX54,OUT045,0.048157338,106.1622,2117.24
DRK35,OUT049,0.071958197,38.0506,796.96
FDY21,OUT046,0.17348130399999998,194.511,4910.27
FDI26,OUT019,0.061082177,180.0344,892.17
FDM20,OUT018,0.0232488068,246.9144,3185.19
FDV27,OUT045,0.040071131,87.3514,1062.62
FDF09,OUT027,0.012090074,38.2848,484.7
FDY40,OUT019,0.15028599,51.0692,147.81
FDY45,OUT027,0.026015518999999997,255.8356,2543.36
FDC46,OUT010,0.195068226,185.4266,184.43
FDH19,OUT035,0.033082215,172.5738,4865.67
FDZ03,OUT045,0.078946455,186.024,1118.54
DRH37,OUT045,0.041700756,164.8526,2302.34
NCI17,OUT046,0.14342264300000002,95.84100000000001,2027.36
FDJ58,OUT046,0.10529607199999999,170.1764,3435.53
FDL12,OUT013,0.121531501,59.222,599.22
FDH35,OUT045,0.056988493333333334,164.7526,4604.67
FDG02,OUT017,0.011324862,189.6188,2285.03
NCZ18,OUT049,0.186357148,254.3698,5580.74
FDC29,OUT046,0.024205661,114.0176,2290.35
FDQ10,OUT049,0.033230816,172.3422,1207.1
FDN48,OUT019,0.113720344,89.9804,643.16
FDL04,OUT017,0.11255650699999999,104.9622,1587.93
FDV25,OUT045,0.0434213736,222.5456,5305.09
FDD58,OUT046,0.05935224099999999,101.87,1697.79
FDN04,OUT046,0.014087057,180.3344,1427.48
FDV45,OUT018,0.045230944,187.9556,4693.89
NCL18,OUT019,0.293417759,194.6136,583.24
FDR12,OUT027,0.031382044,171.3764,3091.98
FDG20,OUT017,0.12639886,177.0028,2479.44
FDZ55,OUT035,0.025403897999999998,160.99200000000002,2716.46
FDQ49,OUT027,0.039057677,155.963,3285.72
FDN33,OUT046,0.123115764,95.6436,661.81
FDN27,OUT049,0.039624006,117.2808,1523.35
FDW20,OUT010,0.040421193,122.17299999999999,369.52
DRG27,OUT049,0.10527411099999999,39.9138,690.43
DRI25,OUT045,0.033970195,55.1614,1381.54
FDA44,OUT035,0.053212652,57.893,622.52
NCR17,OUT035,0.024378706,114.5492,1274.34
FDU04,OUT019,0.009714595,120.0414,487.37
FDF41,OUT049,0.131383762,246.046,1231.73
FDB56,OUT035,0.07461309,187.4556,3755.11
NCP18,OUT027,0.028459761,149.9708,4363.65
FDB56,OUT046,0.07462720099999999,187.8556,1314.29
FDT28,OUT045,0.063695084,151.0708,1805.65
FDD10,OUT027,0.045797829000000005,178.5344,2854.95
FDW57,OUT049,0.11585722300000001,179.1028,3896.26
DRB48,OUT013,0.024832806000000002,38.7822,667.8
FDP09,OUT018,0.034027909,212.0902,3185.85
FDH14,OUT013,0.046769599999999995,141.1838,2247.74
FDA47,OUT013,0.11657670199999999,163.121,1794.33
FDG12,OUT045,0.004224196666666667,121.3098,2530.71
DRE60,OUT019,0.278974075,225.372,679.12
DRK49,OUT013,0.035913805,41.4138,812.28
FDD03,OUT046,0.079806266,232.53,699.09
FDS52,OUT017,0.005505481,102.4016,2732.44
FDW39,OUT019,0.064625342,176.937,176.44
FDX34,OUT027,0.071636937,121.7098,4097.33
FDV11,OUT045,0.07503556575,173.2054,3151.9
FDD17,OUT049,0.032677677999999995,239.0906,5942.26
FDZ16,OUT017,0.160760054,192.4478,4843.7
FDZ46,OUT035,0.06911065,109.0228,2542.02
DRA12,OUT017,0.041177505,140.3154,2552.68
FDY58,OUT018,0.040081193,227.0694,1141.85
NCF19,OUT017,0.035307322,47.5034,680.45
DRJ13,OUT045,0.063017847,159.0578,2085.95
FDB14,OUT010,0.171938781,92.512,186.42
FDJ38,OUT035,0.040197932,190.153,3036.05
FDW11,OUT017,0.049058014000000004,62.7194,866.87
FDL40,OUT035,0.01161096,95.041,868.87
DRI49,OUT046,0.183507295,82.4276,1137.19
FDV38,OUT017,0.102349519,52.7956,928.13
DRG23,OUT013,0.08670898699999999,151.7682,762.34
NCP30,OUT045,0.032835147,40.2822,707.08
FDY25,OUT027,0.033809913,180.5976,7968.29
NCH54,OUT046,0.07266912,160.292,1438.13
NCR53,OUT027,0.144338493,224.4404,6976.25
FDS52,OUT010,0.009163216,101.7016,101.2
FDG02,OUT018,0.011307038,188.5188,952.09
NCO26,OUT046,0.076855628,116.0492,1969.44
FDH35,OUT027,0.059956876,165.4526,5262.48
FDB51,OUT045,0.038532062,60.5852,1314.29
FDX44,OUT017,0.043209581,90.8172,535.3
NCN07,OUT010,0.056816465,132.1284,263.66
NCC31,OUT035,0.019866705,154.5972,1402.17
NCX54,OUT017,0.048331717,105.1622,1693.8
NCO55,OUT045,0.091221855,105.5938,2143.88
NCC30,OUT049,0.027622076000000002,177.6344,2676.52
FDI16,OUT035,0.128357683,53.06399999999999,905.49
FDP16,OUT049,0.039355947,246.3802,7370.41
FDB11,OUT035,0.060836524,226.8404,6301.13
NCB06,OUT035,0.082316506,160.692,1597.92
FDA45,OUT035,0.155350299,178.237,529.31
NCO26,OUT035,0.076841095,117.5492,1969.44
DRJ25,OUT017,0.151419185,50.3692,1034.65
FDR28,OUT018,0.026001976,161.52100000000002,1794.33
FDI04,OUT018,0.073209447,197.6426,2768.4
DRK12,OUT027,0.041683481,31.29,898.83
FDX20,OUT046,0.042560252,226.172,3169.21
NCI18,OUT018,0.014081156000000001,223.5746,3589.99
FDB36,OUT018,0.03467489585714286,132.5626,262.33
FDN13,OUT017,0.152918384,99.8358,1910.18
DRD24,OUT017,0.030969273999999998,140.9154,1701.78
FDQ28,OUT013,0.06037677599999999,154.5656,2471.45
FDM22,OUT013,0.04192285,54.763999999999996,1331.6
FDR07,OUT027,0.077367431,97.0094,1808.98
FDV25,OUT018,0.045838211,222.5456,3315.68
DRF49,OUT046,0.071077939,114.2518,2618.59
FDW51,OUT046,0.09465987099999999,214.55599999999998,2769.73
DRL01,OUT017,0.077608838,233.4958,5375.0
FDP25,OUT017,0.021327477,216.8824,2838.97
FDL50,OUT018,0.042485444000000004,125.0046,1743.06
NCB30,OUT027,0.025578526,198.8084,5555.44
FDW11,OUT018,0.048980800000000005,61.9194,619.19
NCM43,OUT035,0.019471688,164.821,2120.57
FDK44,OUT017,0.122918852,173.0738,3823.02
FDM15,OUT013,0.057373797000000004,151.4366,1360.23
FDS31,OUT013,0.044155597000000005,178.8318,3969.5
FDI32,OUT010,0.291865402,115.1834,345.55
FDR47,OUT010,0.07008762299999999,196.5794,585.24
FDB35,OUT045,0.064750025,92.6804,1010.68
NCU05,OUT010,0.098312421,81.4618,161.12
DRY23,OUT019,0.191013663,42.1112,42.61
FDO24,OUT045,0.176573035,157.4604,3010.75
FDQ28,OUT027,0.060134441,153.0656,6024.16
FDV39,OUT045,0.0072946519999999996,198.1426,988.71
NCO17,OUT019,0.128478462,117.944,239.69
FDU50,OUT013,0.075107656,112.8176,1374.21
FDT12,OUT027,0.049381405999999996,226.8062,4739.83
FDK58,OUT018,0.045165795999999994,100.0016,1012.02
FDO08,OUT019,0.09415375,165.7526,657.81
NCW29,OUT049,0.028907832,130.431,778.99
FDE04,OUT045,0.018059621,179.766,2336.96
NCB19,OUT049,0.09043609400000001,85.0882,2233.09
FDV15,OUT049,0.146399712,103.9648,1661.84
