Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA15,9.3,Low Fat,0.016047301,Dairy,249.81,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.14
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.27,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.42
FDN15,17.5,Low Fat,0.016760075,Meat,141.62,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27
FDX07,19.2,Regular,0,Fruits and Vegetables,182.1,OUT010,1998,Medium,Tier 3,Grocery Store,732.38
NCD19,8.93,Low Fat,0,Household,53.86,OUT013,1987,High,Tier 3,Supermarket Type1,994.71
FDP36,10.395,Regular,0,Baking Goods,51.4,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.61
FDO10,13.65,Regular,0.012741089,Snack Foods,57.66,OUT013,1987,High,Tier 3,Supermarket Type1,343.55
FDP10,19,Low Fat,0.127469857,Snack Foods,107.76,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.76
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.97,OUT045,2002,Small,Tier 2,Supermarket Type1,1076.6
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.82,OUT017,2007,Small,Tier 2,Supermarket Type1,4710.54
FDY07,11.8,Low Fat,0,Fruits and Vegetables,45.54,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.03
FDA03,18.5,Regular,0.045463773,Dairy,144.11,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.15
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.48,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.26
FDS46,17.6,Regular,0.047257328,Snack Foods,119.68,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.21
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.44,OUT013,1987,High,Tier 3,Supermarket Type1,1977.43
FDP49,9,Regular,0.069088961,Breakfast,56.36,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.32
NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.35,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.89
FDP49,9,Regular,0.069196376,Breakfast,54.36,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.4
